MAIRA Recording v4
Formula Vee - Classic @ Circuit de Ledenon -  (104s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,YawRate,TrackPosition,YawNorth,VelocityX,Speed,VelocityY360Hz,LatAccel,RollRate,PitchRate,LFShockVelocity,RFShockVelocity,LFShockDeflection,RFShockDeflection,Throttle,Brake
-0.34208226,-0.43699414,0,0.07410616,0.025785185,0.10759013,0,0,-0.00094896293,-0.04278022,6753.0146,6500,3,4,False,38.146015,0.018099576,-0.0038681012,6.719512,0.116099074,-0.0013365127,2.4449856,3.3265383,38.14601,38.146015,0.0178256,-0.3253712,0.03796606,0.043228462,-0.036160942,-0.030156635,0.04056849,0.040509913,1,0
-0.34208226,-0.4438269,0,0.07410616,0.025785185,0.10759013,0,0,-0.00094896293,-0.04278022,6753.0146,6500,3,4,False,38.146015,0.018099576,-0.0038681012,6.719512,0.116099074,-0.0010222205,2.4449856,3.3265383,38.14601,38.146015,0.017867323,-0.3039208,0.037822116,0.041028067,-0.03451202,-0.030214261,0.040469974,0.040425543,1,0
-0.34208226,-0.43185675,0,0.07410616,0.025785185,0.10759013,0,0,-0.00094896293,-0.04278022,6753.0146,6500,3,4,False,38.146015,0.018099576,-0.0038681012,6.719512,0.116099074,-0.0007077352,2.4449856,3.3265383,38.14601,38.146015,0.017944332,-0.2774006,0.03676434,0.038890477,-0.033720396,-0.029342817,0.04037632,0.040341925,1,0
-0.34208226,-0.40166298,0,0.07410616,0.025785185,0.10759013,0,0,-0.00094896293,-0.04278022,6753.0146,6500,3,4,False,38.146015,0.018099576,-0.0038681012,6.719512,0.116099074,-0.0004260088,2.4449856,3.3265383,38.14601,38.146015,0.01801467,-0.26804984,0.033545695,0.036905885,-0.03352944,-0.029079705,0.0402834,0.0402617,1,0
-0.34208226,-0.34208226,0,0.07410616,0.025785185,0.10759013,0,0,-0.00094896293,-0.04278022,6753.0146,6500,3,4,False,38.146015,0.018099576,-0.0038681012,6.719512,0.116099074,-0.00017657205,2.4449856,3.3265383,38.14601,38.146015,0.018099576,-0.2528663,0.028171761,0.035230268,-0.03373816,-0.028606772,0.040190455,0.04018045,1,0
0.54752636,-0.22891729,0,0.09217016,0.016420174,0.10278687,0,0,-0.0010242818,-0.032936838,6754.745,6500,3,4,False,38.151268,0.019538824,-0.0024175632,6.719512,0.08703227,1.0247823E-05,3.0802114,3.3265574,38.151264,38.151268,0.01819684,-0.239903,0.020071384,0.03390722,-0.03413032,-0.026945103,0.040096607,0.04010182,1,0
0.54752636,-0.089988194,0,0.09217016,0.016420174,0.10278687,0,0,-0.0010242818,-0.032936838,6754.745,6500,3,4,False,38.151268,0.019538824,-0.0024175632,6.719512,0.08703227,8.892131E-05,3.0802114,3.3265574,38.151264,38.151268,0.018291317,-0.23684865,0.008481464,0.032869365,-0.033511918,-0.025533047,0.040001765,0.040029354,1,0
0.54752636,0.06819977,0,0.09217016,0.016420174,0.10278687,0,0,-0.0010242818,-0.032936838,6754.745,6500,3,4,False,38.151268,0.019538824,-0.0024175632,6.719512,0.08703227,1.1350692E-05,3.0802114,3.3265574,38.151264,38.151268,0.018442683,-0.21977715,-0.004991993,0.03195953,-0.031149354,-0.026002236,0.039910343,0.039959703,1,0
0.54752636,0.23309849,0,0.09217016,0.016420174,0.10278687,0,0,-0.0010242818,-0.032936838,6754.745,6500,3,4,False,38.151268,0.019538824,-0.0024175632,6.719512,0.08703227,-0.00023341442,3.0802114,3.3265574,38.151264,38.151268,0.018721234,-0.18329208,-0.016951678,0.031119961,-0.030991009,-0.026438773,0.039827194,0.039886326,1,0
0.54752636,0.39638,0,0.09217016,0.016420174,0.10278687,0,0,-0.0010242818,-0.032936838,6754.745,6500,3,4,False,38.151268,0.019538824,-0.0024175632,6.719512,0.08703227,-0.0006493335,3.0802114,3.3265574,38.151264,38.151268,0.01909417,-0.16497491,-0.028199963,0.030513454,-0.029733492,-0.024975626,0.039739653,0.03981245,1,0
