MAIRA Recording v3
Mazda MX-5 Cup @ Summit Point Raceway -  (1%, 84s)
InputTorque60Hz,InputTorque360Hz,LFEMagnitude,LongitudinalGForce,LateralGForce,MaxShockVelocity,WheelPosition,WheelVelocity,UndersteerEffect,OversteerEffect,SeatOfPantsEffect,SkidSlip,RPM,ShiftRPM,Gear,NumForwardGears,ABSActive,VelocityMS,VelocityY,SteeringWheelAngle,SteeringWheelAngleMax,SteeringWheelVelocity,TrackPosition,YawNorth,VelocityX,Speed
-0.41096893,-0.61580646,-0.06504822,0.078087285,0.03560244,0.033457637,0.0034637451,0.04760742,0,0,0.0006699966,-0.057311926,6525.2783,7200,4,6,False,47.84104,-0.016026668,-0.023699598,17.278645,-0.3627749,28.78859,3.465993,47.84104,47.84104
-0.41096893,-0.5679301,-0.06504822,0.078087285,0.03560244,0.033457637,0.0034637451,0.04760742,0,0,0.0006699966,-0.057311926,6525.2783,7200,4,6,False,47.84104,-0.016026668,-0.023699598,17.278645,-0.3627749,28.78859,3.465993,47.84104,47.84104
-0.41096893,-0.50163394,-0.06504822,0.078087285,0.03560244,0.033457637,0.0034637451,0.04760742,0,0,0.0006699966,-0.057311926,6525.2783,7200,4,6,False,47.84104,-0.016026668,-0.023699598,17.278645,-0.3627749,28.78859,3.465993,47.84104,47.84104
-0.41096893,-0.41096893,-0.06504822,0.078087285,0.03560244,0.033457637,0.0034637451,0.04760742,0,0,0.0006699966,-0.057311926,6525.2783,7200,4,6,False,47.84104,-0.016026668,-0.023699598,17.278645,-0.3627749,28.78859,3.465993,47.84104,47.84104
-0.18881129,-0.31710714,0.0011615753,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
-0.18881129,-0.24067287,0.0501709,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
-0.18881129,-0.20496005,0.023838043,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
-0.18881129,-0.23170972,0.0061244965,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
-0.18881129,-0.207852,0.056884766,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
-0.18881129,-0.18881129,0.025247574,0.070644245,0.034354385,0.04112519,0.004226804,0.045783516,0,0,0.00056018983,-0.07044584,6541.9194,7200,4,6,False,47.8554,-0.013404054,-0.029745843,17.278645,-0.36277467,29.58604,3.4660773,47.855396,47.8554
0.40332937,-0.13265173,-0.07681656,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.40332937,0.010941017,-0.04706955,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.40332937,0.16368937,-0.04706955,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.40332937,0.26873213,-0.04706955,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.40332937,0.32971027,-0.04706955,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.40332937,0.40332937,-0.04706955,0.0668312,0.06115742,0.052305575,0.004989743,0.045776363,0,0,0.0005781496,-0.084413834,6560.207,7200,4,6,False,47.86813,-0.013837469,-0.03579208,17.278645,-0.3627741,30.383707,3.4662113,47.868126,47.86813
0.661116,0.42579454,0.0033950806,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.661116,0.4627296,-0.015995026,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.661116,0.5177207,-0.033102036,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.661116,0.6120337,0.031175613,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.661116,0.7006111,-0.023899078,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.661116,0.661116,-0.06494522,0.08609012,0.032458562,0.048931524,0.0055390596,0.032958984,0,0,0.00044152798,-0.09083864,6563.6353,7200,4,6,False,47.882835,-0.0105708055,-0.040145576,17.278645,-0.26120982,31.181568,3.4663935,47.882835,47.882835
0.7616296,0.50956756,0.017074585,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.7616296,0.4797205,-5.722046E-05,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.7616296,0.55040085,0.02454567,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.7616296,0.64706856,0.012479782,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.7616296,0.70981777,-0.03771019,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.7616296,0.7616296,-0.062072754,0.09464475,0.07361773,0.021585574,0.005813718,0.016479492,0,0,0.00024835524,-0.08991651,6556.386,7200,4,6,False,47.900345,-0.0059481505,-0.04280536,17.278645,-0.15958695,31.979742,3.4666362,47.900345,47.900345
0.8746502,0.759201,0.030117035,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
0.8746502,0.8239797,0.0010490417,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
0.8746502,0.8709924,0.0010490417,0.08208661,0.04452784,0.041038353,0.005813718,0,0,0,-3.7902348E-05,-0.083313406,6555.226,7200,4,6,False,47.916603,0.00090807583,-0.043046646,17.278645,-0.014477222,32.778164,3.4669394,47.916603,47.916603
